lux,distance_cm,pwm_value
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
0,236,245
5,236,225
22,236,185
22,236,185
150,236,101
150,236,101
167,236,98
167,236,98
229,236,88
834,236,64
834,236,64
151,236,101
151,236,101
41,236,158
41,236,158
95,235,119
95,236,119
158,24,49
158,23,49
533,25,20
533,22,19
366,25,26
366,44,33
59,19,89
59,37,94
18,17,141
18,15,141
9,12,162
9,10,162
7,10,166
7,11,167
7,16,168
6,17,170
6,22,171
10,29,164
10,28,164
83,29,76
83,66,91
164,26,48
164,23,48
272,19,31
272,18,31
272,16,31
380,16,23
380,19,24
523,19,19
523,22,19
543,29,21
543,33,22
215,38,44
215,42,45
161,45,56
161,45,56
193,42,48
193,37,47
193,30,44
317,22,29
317,17,27
379,11,23
379,7,22
355,5,23
355,6,23
204,9,38
204,12,38
163,17,46
163,23,48
163,29,49
194,36,46
194,44,49
209,48,48
209,50,49
201,55,52
201,56,53
164,72,66
164,58,60
160,59,62
160,61,63
186,58,56
186,57,56
243,53,46
243,49,45
400,42,31
400,36,28
400,31,27
851,26,14
851,21,13
520,20,19
520,18,18
244,18,34
244,20,35
207,21,39
207,23,40
260,23,34
260,23,34
332,27,29
332,16,26
332,9,25
315,5,26
315,7,26
229,10,34
229,4,34
209,3,36
209,3,36
183,5,41
183,4,41
183,4,41
883,4,10
883,4,10
473,6,18
473,7,18
35,9,113
35,10,113
14,76,172
14,80,174
84,80,96
84,78,95
59,79,112
59,91,116
2,60,199
2,235,236
65,85,110
65,81,108
40,59,122
40,238,160
1,20,187
1,17,187
0,19,190
0,21,191
0,20,190
0,18,193
0,15,192
0,30,196
0,11,192
0,36,198
0,17,193
0,23,194
0,64,210
0,67,211
0,44,201
0,51,201
0,55,203
0,59,204
0,64,206
0,78,212
0,70,209
0,73,210
0,81,213
0,82,214
0,80,213
0,82,214
0,83,214
0,76,211
0,75,211
0,72,210
0,69,211
0,65,210
0,62,209
0,56,206
4,51,190
4,48,188
11,44,165
11,39,163
45,56,115
45,57,116
95,28,70
95,59,82
95,55,80
211,56,51
211,19,38
277,16,30
277,47,40
359,12,24
359,12,24
581,10,15
581,11,15
354,10,24
354,34,30
135,33,58
135,7,51
135,7,51
156,7,46
156,5,46
296,9,28
296,8,28
884,5,10
884,7,10
910,9,10
910,4,10
910,4,10
1934,5,4
1934,4,4
2544,4,3
2544,3,3
3065,4,3
3065,3,3
1855,3,5
1855,3,5
1347,4,6
1347,4,6
1347,5,7
1155,5,8
1155,5,8
951,4,9
951,4,9
723,3,12
723,3,12
868,3,10
868,2,10
868,2,10
1009,2,9
1009,2,9
1474,2,6
1474,2,6
2923,2,3
2923,2,3
2263,2,4
2263,2,4
2263,3,4
880,3,10
880,2,10
4081,2,2
4081,2,2
5948,2,1
5948,3,1
6048,2,1
6048,2,1
4273,2,2
4273,3,2
4273,4,2
6046,3,1
6046,3,1
6438,3,1
6438,3,1
6218,2,1
6218,2,1
6509,3,1
6509,3,1
6509,3,1
6743,3,1
6743,3,1
6664,2,1
6664,3,1
6780,2,1
6780,3,1
6926,2,1
6926,4,1
5800,4,1
5800,2,1
5800,3,1
3124,3,3
3124,2,3
2175,2,4
2175,2,4
1091,2,8
1091,2,8
990,2,9
990,3,9
990,4,9
1197,3,7
1197,3,7
1571,3,5
1571,3,5
5461,2,1
5461,2,1
7094,2,1
7094,2,1
6649,3,1
6649,3,1
6649,3,1
8210,3,1
8210,2,1
9387,2,1
9387,3,1
9196,3,1
9196,2,1
8605,2,1
8605,4,1
8605,3,1
6663,235,55
6514,56,17
6514,56,16
6514,50,14
6760,56,16
6760,236,55
6028,235,55
5810,235,55
5810,235,55
5890,236,55
5890,235,55
6951,235,55
6951,237,55
7426,43,11
7426,42,10
7387,42,11
7387,44,11
7247,235,55
7247,234,55
6769,41,10
6769,44,11
6983,43,11
6983,43,11
6239,43,11
6239,43,11
6196,43,11
6196,43,11
8226,45,12
8226,57,17
9776,237,55
9776,43,11
8360,238,55
8360,42,11
5841,49,14
5841,238,55
4627,238,56
4627,49,14
791,50,24
791,55,26
285,56,43
285,56,43
358,58,39
358,55,38
2180,54,18
2180,56,19
2180,56,19
3485,59,19
3485,56,18
1823,62,22
1823,69,25
557,66,35
557,56,31
245,60,49
245,60,49
37,72,131
37,74,132
2,75,205
2,59,198
25,58,142
25,61,143
39,78,131
39,79,131
28,237,176
28,81,147
119,238,110
119,238,110
226,238,88
226,238,88
2182,238,58
2182,238,58
255,1194,94
1327,238,61
2166,239,58
2166,234,58
640,21,16
640,21,16
207,21,39
207,21,39
666,22,16
666,26,17
1008,31,14
1008,36,16
1008,43,19
519,49,29
519,56,32
204,58,54
204,60,54
87,61,86
87,61,86
78,58,90
78,54,89
85,48,83
85,44,81
127,36,61
127,61,71
189,26,44
189,24,43
189,20,42
199,19,40
199,22,41
94,38,74
94,21,69
58,22,91
58,25,92
54,31,97
54,237,145
53,36,100
53,40,101
48,46,108
48,50,110
46,62,116
46,56,114
45,58,116
45,58,116
45,55,115
46,50,112
46,44,109
48,39,105
48,33,103
49,79,120
49,59,112
49,20,98
49,22,98
50,23,98
50,23,98
49,21,99
49,24,100
45,27,104
45,30,106
45,35,107
40,42,114
40,45,116
38,48,120
38,54,122
35,54,125
35,55,126
12,53,167
12,49,165
2,46,193
2,39,190
2,33,188
2,28,187
16,25,147
16,45,154
16,16,145
36,15,111
36,15,111
35,238,165
35,238,165
20,14,137
20,15,138
6,14,170
6,15,170
34,16,115
34,16,115
53,238,146
53,234,146
273,22,32
273,12,30
2185,15,5
2185,15,5
948,12,10
948,13,10
948,13,10
618,17,16
618,78,38
1402,20,9
1402,26,10
390,31,27
390,35,28
317,41,35
317,44,36
204,47,49
204,46,49
207,45,48
207,43,47
207,38,45
975,29,14
975,24,12
126,20,56
126,17,55
24,16,129
24,17,129
27,77,147
27,27,127
513,32,23
513,40,25
749,47,23
749,61,29
27,63,141
27,61,140
27,62,141
12,62,170
12,63,171
9,61,179
9,57,177
41,52,118
41,49,116
90,40,76
90,60,84
32,29,121
32,27,120
19,25,142
19,30,143
21,62,151
21,61,151
94,36,73
94,40,75
94,44,77
423,56,35
423,55,35
295,60,44
295,62,45
75,66,95
75,66,95
22,68,152
22,67,151
14,67,169
14,62,166
28,57,138
28,53,136
79,44,84
79,38,82
194,31,44
194,29,44
194,23,42
422,22,23
422,14,21
269,12,30
269,10,30
66,8,82
66,7,82
77,7,75
77,6,75
145,5,49
145,5,49
145,4,49
422,5,20
422,5,20
2014,4,4
2014,3,4
352,3,23
352,4,23
296,11,28
296,4,27
296,3,27
2450,5,4
2450,7,4
434,74,42
434,5,19
303,10,27
303,73,49
449,75,42
449,59,35
406,73,43
406,73,43
365,238,77
365,238,77
465,45,29
465,49,31
894,239,64
894,47,21
2973,76,26
2973,1194,66
5450,74,24
5131,74,24
5131,47,13
5830,57,17
5830,76,25
2142,75,27
2142,75,27
301,74,50
301,238,81
328,75,48
328,74,47
27,73,145
27,74,146
0,76,214
0,83,217
0,73,213
0,74,213
0,72,210
0,237,242
0,237,242
0,84,214
0,84,217
0,237,245
0,238,245
0,237,245
0,69,212
0,40,200
0,44,201
0,49,203
0,53,205
0,56,206
0,58,207
0,60,208
0,62,209
0,66,210
0,66,210
0,66,210
0,68,211
0,69,212
0,73,213
0,72,213
0,73,213
0,74,213
0,74,214
0,75,214
0,76,214
0,81,216
0,83,217
0,80,216
0,84,217
0,84,217
0,82,217
0,82,217
0,79,216
0,74,213
0,66,210
0,82,217
0,238,245
0,238,245
0,238,245
0,238,245
0,239,245
0,238,245
0,85,218
0,83,217
0,83,217
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,238,245
0,85,217
0,237,245
0,85,214
0,84,214
0,83,214
0,237,242
0,84,214
0,83,214
0,83,214
28,79,146
28,78,146
384,78,46
384,238,76
1381,237,60
264,75,53
264,237,84
388,79,46
388,238,76
887,75,33
887,77,33
1435,11,7
1435,15,7
2014,13,5
2014,11,5
2014,8,5
625,8,14
625,7,14
400,7,21
400,6,21
394,7,21
394,7,21
362,5,23
362,4,23
362,3,23
430,4,20
430,3,19
895,3,10
895,2,10
903,3,10
903,3,10
842,3,10
842,2,10
634,3,14
634,3,14
634,2,14
580,3,15
580,3,15
309,3,26
309,3,26
360,3,23
360,3,23
438,2,19
438,2,19
438,2,19
310,2,26
310,2,26
372,3,22
372,3,22
786,3,11
786,3,11
4099,3,2
4099,3,2
5605,3,1
5605,3,1
5605,2,1
5624,2,1
5624,3,1
5814,3,1
5814,3,1
5695,3,1
5695,3,1
4665,3,2
4665,3,2
4665,3,2
4898,3,2
4898,3,2
4941,3,1
4941,2,1
3184,2,2
3184,3,3
5661,3,1
5661,2,1
5661,4,1
5751,4,1
5751,74,24
5920,56,17
5920,74,24
5639,74,24
5639,74,24
5351,76,25
5351,75,24
5717,75,24
5717,57,17
6798,57,17
6798,237,55
6814,56,16
6814,56,16
6701,58,17
6701,88,29
7098,88,29
7098,88,29
7079,88,29
7079,238,55
7137,75,24
7137,238,55
5702,238,55
5702,238,55
5900,60,18
5900,238,55
5236,238,56
6121,238,55
6121,238,55
3143,238,57
3143,238,57
3077,239,57
3077,242,57
3769,239,56
3769,239,56
3661,238,56
3671,238,56
3671,237,56
3345,237,56
3345,237,56
3318,237,56
3318,77,26
3519,78,26
3519,77,26
3619,77,26
3619,78,26
4324,78,26
4324,81,27
4427,239,56
4427,239,56
3834,80,27
3834,80,27
2852,238,57
2852,239,57
2319,238,58
2023,238,58
2023,238,58
1975,239,59
1975,238,58
867,238,64
867,239,64
446,239,73
446,238,73
323,239,79
460,234,72
460,234,72
956,234,63
956,239,63
2335,239,58
2335,238,58
2178,239,58
2307,238,58
2307,239,58
2072,238,58
2072,238,58
1833,238,59
1833,238,59
1453,238,60
1453,238,60
1070,238,62
1236,239,61
1236,235,61
1999,234,58
1999,234,58
1801,233,59
1801,233,59
1175,233,61
934,233,63
934,234,63
713,234,66
713,234,66
376,234,76
376,234,76
303,234,80
303,239,81
345,239,78
339,238,78
339,238,78
371,238,76
371,238,76
368,238,77
368,238,77
315,238,80
315,238,80
219,238,89
199,237,92
199,237,92
306,238,81
306,237,80
323,237,79
323,237,79
130,237,107
154,237,101
154,237,101
417,238,74
417,238,74
648,238,67
648,238,67
362,238,77
362,238,77
334,238,79
441,238,73
441,238,73
942,238,63
942,239,63
1514,239,60
1514,239,60
1680,234,59
1681,239,59
1681,239,59
1580,238,60
1580,238,60
1387,238,60
1387,238,60
1085,239,62
1085,238,62
1197,238,61
1043,238,62
1043,238,62
756,238,66
756,238,66
160,238,99
160,238,99
43,238,156
83,238,125
83,238,125
16,239,197
16,238,197
9,238,215
9,238,215
6,238,222
6,238,222
8,238,218
14,237,203
14,237,203
18,237,194
18,238,194
24,234,182
24,234,182
29,234,174
29,233,174
49,234,150
106,234,114
106,234,114
685,234,66
685,234,66
209,235,90
209,234,90
70,234,133
316,234,80
316,234,80
168,239,98
168,234,97
128,234,107
128,234,107
140,234,104
140,234,104
109,234,113
129,234,107
129,234,107
10,234,211
10,238,211
26,238,178
26,234,178
106,235,115
19,238,192
19,234,192
15,234,199
15,235,199
138,85,77
138,234,104
11,234,208
11,235,209
58,57,104
58,82,114
70,234,133
70,39,88
20,40,143
20,37,142
15,56,160
15,62,163
6,33,175
6,33,175
135,32,57
135,57,67
9,238,215
9,57,177
3,30,184
3,29,184
8,30,169
8,31,169
176,29,47
176,33,48
63,35,91
63,38,92
63,85,111
97,47,76
97,54,79
803,57,26
803,57,27
80,58,89
80,57,88
265,53,44
265,49,42
199,56,53
199,34,45
10,34,163
10,36,164
43,42,112
43,49,115
789,56,27
789,63,29
789,67,31
40,72,127
40,75,128
6,77,192
6,78,192
3,77,203
3,76,202
2,74,205
2,72,203
5,66,193
5,61,191
24,55,143
24,48,141
744,39,20
744,31,17
228,26,38
228,21,37
20,19,137
20,20,137
20,21,137
24,26,133
24,32,134
70,38,87
70,46,90
156,55,61
156,61,63
369,68,43
369,71,44
389,75,44
389,77,45
408,79,45
408,105,54
355,107,57
355,108,58
494,237,71
494,84,44
457,79,43
457,75,42
345,71,45
345,67,43
378,58,38
378,53,36
266,46,41
266,41,39
114,36,65
114,32,64
114,30,63
60,27,90
60,28,91
50,30,100
50,32,101
70,36,87
70,39,88
84,41,80
84,46,82
104,48,74
104,51,75
116,55,72
116,56,72
88,60,86
88,66,88
88,238,123
56,85,116
57,234,142
57,64,107
53,60,109
53,58,108
62,56,100
62,52,98
62,49,97
62,47,96
62,45,95
42,42,113
42,40,112
30,36,125
30,33,124
20,29,141
20,26,140
14,23,152
14,20,151
12,21,155
12,21,155
13,24,154
13,30,156
13,32,157
18,36,147
18,39,148
40,43,116
40,47,118
61,49,98
61,52,99
95,55,80
95,57,81
155,60,63
155,63,64
197,66,58
197,68,59
187,71,61
187,73,62
192,74,62
192,76,62
192,75,62
182,75,64
182,76,64
170,76,67
170,77,67
156,77,70
156,77,70
161,79,69
161,93,75
181,93,71
181,94,71
165,96,75
165,98,75
